Rank,Name,Position,Team,Projected PPR Points,Injury Status
1,Josh Allen,QB,BUF,23.64,Active
2,Joe Burrow,QB,CIN,23.62,Active
3,Dak Prescott,QB,DAL,21.85,Questionable
4,Jalen Hurts,QB,PHI,21.65,Active
5,Brock Purdy,QB,SF,21.51,Active
6,Jared Goff,QB,DET,20.85,Active
7,Jayden Daniels,QB,WAS,20.85,Active
8,Drake Maye,QB,NE,20.75,Active
9,Justin Herbert,QB,LAC,20.69,Active
10,Jaxson Dart,QB,NYG,20.68,Active
11,Patrick Mahomes,QB,KC,20.57,Questionable
12,Bijan Robinson,RB,ATL,20.57,Active
13,Trevor Lawrence,QB,JAX,20.53,Active
14,Lamar Jackson,QB,BAL,20.42,Active
15,Bo Nix,QB,DEN,19.96,Questionable
16,Caleb Williams,QB,CHI,19.9,Active
17,Jordan Love,QB,GB,19.7,Active
18,Jahmyr Gibbs,RB,DET,19.62,Active
19,Matthew Stafford,QB,LAR,19.35,Active
20,Ja'Marr Chase,WR,CIN,19.34,Active
21,C.J. Stroud,QB,HOU,19.12,Active
22,Baker Mayfield,QB,TB,18.91,Active
23,Tyler Shough,QB,NO,18.9,Active
24,Sam Darnold,QB,SEA,18.81,Active
25,Christian McCaffrey,RB,SF,18.52,Active
26,Kyler Murray,QB,MIN,18.41,Active
27,Malik Willis,QB,MIA,18.18,Active
28,Cam Ward,QB,TEN,18.11,Active
29,Bryce Young,QB,CAR,17.77,Active
30,Amon-Ra St. Brown,WR,DET,17.55,Active
31,Jonathan Taylor,RB,IND,17.47,Active
32,Puka Nacua,WR,LAR,17.36,Active
33,Geno Smith,QB,NYJ,17.28,Active
34,Jaxon Smith-Njigba,WR,SEA,17.13,Active
35,Jacoby Brissett,QB,ARI,17.1,Active
36,Daniel Jones,QB,IND,16.61,Questionable
37,Aaron Rodgers,QB,PIT,16.49,Active
38,CeeDee Lamb,WR,DAL,16.06,Active
39,Kenneth Walker,RB,KC,16.04,Active
40,Justin Jefferson,WR,MIN,15.58,Active
41,De'Von Achane,RB,MIA,15.5,Questionable
42,Trey McBride,TE,ARI,15.4,Active
43,James Cook,RB,BUF,15.35,Active
44,Chase Brown,RB,CIN,15.19,Active
45,Ashton Jeanty,RB,LV,15.1,Active
46,Jeremiyah Love,RB,ARI,15.01,Active
47,George Pickens,WR,DAL,14.81,Active
48,Tee Higgins,WR,CIN,14.77,Active
49,Josh Jacobs,RB,GB,14.22,Active
50,Derrick Henry,RB,BAL,14.21,Active
51,Drake London,WR,ATL,14.18,Questionable
52,Malik Nabers,WR,NYG,14.06,Questionable
53,Omarion Hampton,RB,LAC,14.02,Active
54,Breece Hall,RB,NYJ,13.97,Active
55,Brock Bowers,TE,LV,13.73,Active
56,Saquon Barkley,RB,PHI,13.61,Active
57,Fernando Mendoza,QB,LV,13.51,Active
58,Javonte Williams,RB,DAL,13.47,Active
59,Zay Flowers,WR,BAL,13.41,Active
60,Nico Collins,WR,HOU,13.38,Active
61,Tetairoa McMillan,WR,CAR,13.19,Questionable
62,Jaylen Waddle,WR,DEN,13.11,Active
63,Tyler Warren,TE,IND,13.07,Active
64,Chris Olave,WR,NO,12.62,Questionable
65,Aaron Jones,RB,MIN,12.45,Active
66,Colston Loveland,TE,CHI,12.44,Active
67,David Montgomery,RB,HOU,12.36,Active
68,Garrett Wilson,WR,NYJ,12.32,Active
69,Kyren Williams,RB,LAR,12.2,Active
70,Quinshon Judkins,RB,CLE,12.11,Questionable
71,Jaylen Warren,RB,PIT,12.11,Active
72,Luther Burden,WR,CHI,12.1,Active
73,Rashee Rice,WR,KC,12.09,Questionable
74,Jameson Williams,WR,DET,12.08,Active
75,Rome Odunze,WR,CHI,12.03,Active
76,Chuba Hubbard,RB,CAR,12.01,Active
77,Terry McLaurin,WR,WAS,11.97,Active
78,TreVeyon Henderson,RB,NE,11.88,Active
79,Bucky Irving,RB,TB,11.74,Questionable
80,Emeka Egbuka,WR,TB,11.72,Active
81,DeVonta Smith,WR,PHI,11.63,Active
82,Travis Kelce,TE,KC,11.63,Active
83,Christian Watson,WR,GB,11.55,Active
84,Cam Skattebo,RB,NYG,11.52,Active
85,Davante Adams,WR,LAR,11.47,Active
86,DK Metcalf,WR,PIT,11.4,Active
87,Carnell Tate,WR,TEN,11.38,Active
88,Travis Etienne,RB,NO,11.37,Active
89,Tua Tagovailoa,QB,ATL,11.36,Active
90,Rhamondre Stevenson,RB,NE,11.34,Active
91,Xavier Worthy,WR,KC,11.3,Questionable
92,Marvin Harrison,WR,ARI,11.25,Active
93,Michael Wilson,WR,ARI,11.19,Active
94,Mike Evans,WR,SF,10.94,Active
95,Josh Downs,WR,IND,10.92,Active
96,D'Andre Swift,RB,CHI,10.89,Active
97,Ladd McConkey,WR,LAC,10.76,Questionable
98,Alec Pierce,WR,IND,10.73,Questionable
99,Harold Fannin,TE,CLE,10.68,Questionable
100,Parker Washington,WR,JAX,10.62,Active
101,Rico Dowdle,RB,PIT,10.59,Active
102,DJ Moore,WR,BUF,10.59,Active
103,Kyle Pitts,TE,ATL,10.52,Active
104,Sam LaPorta,TE,DET,10.52,Questionable
105,Jordan Addison,WR,MIN,10.45,Active
106,Romeo Doubs,WR,NE,10.36,Active
107,Tony Pollard,RB,TEN,10.2,Active
108,Jordyn Tyson,WR,NO,10.16,Questionable
109,Khalil Shakir,WR,BUF,10.15,Active
110,Chris Godwin,WR,TB,10.11,Active
111,Michael Pittman,WR,PIT,10.11,Active
112,Jayden Reed,WR,GB,10.09,Active
113,Wan'Dale Robinson,WR,TEN,10.05,Active
114,Jake Ferguson,TE,DAL,10.04,Active
115,Brian Thomas,WR,JAX,10.04,Active
116,Jayden Higgins,WR,HOU,10.01,Active
117,Tucker Kraft,TE,GB,9.99,Questionable
118,Jalen Coker,WR,CAR,9.92,Active
119,Hunter Henry,TE,NE,9.91,Active
120,Courtland Sutton,WR,DEN,9.91,Active
121,Bhayshul Tuten,RB,JAX,9.79,Active
122,RJ Harvey,RB,DEN,9.71,Active
123,Jakobi Meyers,WR,JAX,9.7,Active
124,Quentin Johnston,WR,LAC,9.69,Active
125,Kyle Monangai,RB,CHI,9.6,Active
126,Dalton Kincaid,TE,BUF,9.33,Active
127,J.K. Dobbins,RB,DEN,9.33,Active
128,Kenneth Gainwell,RB,TB,9.12,Active
129,Ricky Pearsall,WR,SF,9.07,Active
130,Rachaad White,RB,WAS,9.06,Active
131,Matthew Golden,WR,GB,9.05,Active
132,Jadarian Price,RB,SEA,8.97,Active
133,Mark Andrews,TE,BAL,8.95,Active
134,Andrei Iosivas,WR,CIN,8.92,Active
135,AJ Barner,TE,SEA,8.87,Questionable
136,Juwan Johnson,TE,NO,8.86,Active
137,KC Concepcion,WR,CLE,8.83,Active
138,Isaiah Likely,TE,NYG,8.63,Active
139,Jalen Nailor,WR,LV,8.61,Active
140,Jacory Croskey-Merritt,RB,WAS,8.52,Active
141,Brenton Strange,TE,JAX,8.51,Active
142,Jordan Mason,RB,MIN,8.48,Active
143,T.J. Hockenson,TE,MIN,8.42,Active
144,Rashid Shaheed,WR,SEA,8.4,Active
145,Dalton Schultz,TE,HOU,8.36,Active
146,Blake Corum,RB,LAR,8.3,Active
147,Makai Lemon,WR,PHI,8.21,Questionable
148,Chris Rodriguez,RB,JAX,8.03,Questionable
149,George Kittle,TE,SF,8.03,Questionable
150,Gunnar Helm,TE,TEN,7.95,Active
151,Dallas Goedert,TE,PHI,7.8,Active
152,Chig Okonkwo,TE,WAS,7.75,Active
153,Oronde Gadsden,TE,LAC,7.65,Active
154,Tyrone Tracy,RB,NYG,7.63,Active
